case,error_sentence,correct_sentence,option_1,option_2,option_3,option_4,correct_option,topics
1,He don't finish his homework last night before dinner.,He didn't finish his homework last night before dinner.,his,don't,dinner,He,2,past simple tense
1,I was read a book all afternoon yesterday.,I was reading a book all afternoon yesterday.,read,afternoon,a,all,1,past continuous
1,His car is most fast than my car.,His car is faster than my car.,fast,most,car,than,2,comparative adjectives
1,"If people doesn't drink water, they get thirsty.","If people don't drink water, they get thirsty.",thirsty,If,drink,doesn't,4,zero conditional
1,This soup isn't as hot like the other one.,This soup isn't as hot as the other one.,the,like,one,as,2,comparative as...as
1,"You like ice cream, isn't you?","You like ice cream, don't you?",cream,you,like,isn't,4,question tags
1,There isn't some milk left in the fridge.,There isn't any milk left in the fridge.,some,the,isn't,left,1,some/any/many/much
1,"This bag is her, not mine.","This bag is hers, not mine.",This,her,mine,not,2,possessive pronouns
1,She sings beautiful at the concert.,She sings beautifully at the concert.,at,concert,beautiful,She,3,adverbs of manner
1,This box is too much heavy for me to carry.,This box is too heavy for me to carry.,much,to,is,for,1,too/enough
1,She has a little apples in her lunchbox today.,She has a few apples in her lunchbox today.,apples,in,has,little,4,quantifiers
1,"If you will study hard, you will pass the test.","If you study hard, you will pass the test.",will,pass,hard,If,1,first conditional
2,"He is your friend, isn't he not?","He is your friend, isn't he?",He,not,is,your,2,question tags
2,"Can you help I with my homework, please?","Can you help me with my homework, please?",please,my,Can,I,4,object pronouns
2,He don't finish his homework last night before dinner.,He didn't finish his homework last night before dinner.,before,night,don't,finish,3,past simple tense
2,His car is most fast than my car.,His car is faster than my car.,car,most,than,is,2,comparative adjectives
2,He speaks English very good in class.,He speaks English very well in class.,good,very,He,English,1,adverbs of manner
2,They were talk loudly during the movie.,They were talking loudly during the movie.,movie,talk,were,loudly,2,past continuous
2,She has a little apples in her lunchbox today.,She has a few apples in her lunchbox today.,a,apples,in,little,4,quantifiers
2,He goes to the gym at every Friday morning.,He goes to the gym every Friday morning.,at,morning,He,goes,1,prepositions of time
2,"That bike is your, not mine.","That bike is yours, not mine.",is,mine,That,your,4,possessive pronouns
2,"If you heat ice, it melts always.","If you heat ice, it always melts.",heat,always,If,melts,2,zero conditional
2,There isn't some milk left in the fridge.,There isn't any milk left in the fridge.,fridge,some,isn't,the,2,some/any/many/much
2,We have finish our homework already.,We have finished our homework already.,our,finish,already,have,2,present perfect simple
3,The water is not warm enough for swimming now.,The water is not warm enough for swimming now.,not,for,is,enough,1,too/enough
3,We have finish our homework already.,We have finished our homework already.,our,homework,have,finish,4,present perfect simple
3,She have to goes to the doctor on Monday.,She has to go to the doctor on Monday.,goes,She,have,Monday,1,modal verbs
3,"If it will rain, the grass gets wet.","If it rains, the grass gets wet.",gets,If,wet,will,4,zero conditional
3,"She can't swim, can she not?","She can't swim, can she?",can't,she,can,not,4,question tags
3,She sings beautiful at the concert.,She sings beautifully at the concert.,concert,She,the,beautiful,4,adverbs of manner
3,She looked at hisself in the mirror before leaving.,She looked at herself in the mirror before leaving.,at,in,before,hisself,4,reflexive pronouns
3,I have a lot of homeworks to finish tonight.,I have a lot of homework to finish tonight.,have,homeworks,finish,I,2,quantifiers
3,I am go to the party on Saturday evening.,I am going to the party on Saturday evening.,go,am,Saturday,the,1,present continuous for future
3,They were talk loudly during the movie.,They were talking loudly during the movie.,loudly,the,They,talk,4,past continuous
3,"Can you help I with my homework, please?","Can you help me with my homework, please?",please,with,you,I,4,object pronouns
